iter	RMSE
0	14.59871775
1	14.22518863
2	13.85777739
3	13.49547491
4	13.15996997
5	12.87787942
6	12.56732409
7	12.30123748
8	12.03308278
9	11.74159941
10	11.46772588
11	11.23872351
12	10.98963604
13	10.75749254
14	10.53043665
15	10.29691055
16	10.07800997
17	9.877497648
18	9.672971217
19	9.489065842
20	9.335112585
21	9.166875443
22	9.015211234
23	8.848228899
24	8.689387544
25	8.554526985
26	8.415202121
27	8.311503466
28	8.177759635
29	8.055147534
30	7.947439161
31	7.83534759
32	7.723481686
33	7.623751502
34	7.513900066
35	7.415593428
36	7.319374995
37	7.236626084
38	7.15520799
39	7.074921366
40	7.002392814
41	6.92995998
42	6.853585983
43	6.781234854
44	6.716632165
45	6.656410025
46	6.592443913
47	6.533890135
48	6.473925214
49	6.425824053
50	6.383403037
51	6.330556304
52	6.283876097
53	6.233053634
54	6.186321522
55	6.147593163
56	6.102127734
57	6.064812602
58	6.030795421
59	6.000385532
60	5.968075117
61	5.939626942
62	5.912140477
63	5.880647973
64	5.852165138
65	5.822073645
66	5.795754476
67	5.767129534
68	5.747052014
69	5.722313558
70	5.695995453
71	5.677175063
72	5.658254679
73	5.63829515
74	5.617976088
75	5.599510734
76	5.580967579
77	5.56632402
78	5.547675502
79	5.530299735
80	5.514923729
81	5.501262082
82	5.487635901
83	5.47564383
84	5.458660416
85	5.445249663
86	5.429934404
87	5.417695787
88	5.406085846
89	5.392543048
90	5.38220033
91	5.372221673
92	5.359317673
93	5.348752672
94	5.34074097
95	5.325063884
96	5.317643453
97	5.310810774
98	5.299755474
99	5.289732279
100	5.280825804
101	5.272133424
102	5.261561966
103	5.253451452
104	5.245368183
105	5.239158464
106	5.229194295
107	5.222845
108	5.214768813
109	5.206478522
110	5.196960593
111	5.191345798
112	5.184148073
113	5.174990963
114	5.16906442
115	5.160845409
116	5.156048437
117	5.147401286
118	5.138912119
119	5.134836123
120	5.127014578
121	5.123426539
122	5.120108926
123	5.114626444
124	5.111189819
125	5.107821131
126	5.105885891
127	5.100049562
128	5.093533544
129	5.088441145
130	5.078959061
131	5.071907931
132	5.066303814
133	5.062026031
134	5.05654568
135	5.052713416
136	5.048743278
137	5.04398608
138	5.040904834
139	5.039413716
140	5.033091935
141	5.024130324
142	5.019408409
143	5.016073214
144	5.00955068
145	5.006441675
146	5.001663831
147	4.995542937
148	4.991632897
149	4.987760803
150	4.983629204
151	4.979993818
152	4.974571438
153	4.970403368
154	4.964946
155	4.958963524
156	4.953127525
157	4.949101903
158	4.94496767
159	4.938155686
160	4.935614483
161	4.929675298
162	4.926175835
163	4.922803454
164	4.918482124
165	4.912518159
166	4.9102387
167	4.906519956
168	4.902094771
169	4.898922683
170	4.896326115
171	4.894073594
172	4.889511323
173	4.884486208
174	4.880314821
175	4.874509437
176	4.868925436
177	4.866543327
178	4.864845253
179	4.862283102
180	4.859366893
181	4.856704744
182	4.854194384
183	4.849290022
184	4.842455991
185	4.835679126
186	4.831318971
187	4.828264016
188	4.823778958
189	4.81948441
190	4.815410705
191	4.813385623
192	4.809409889
193	4.805477937
194	4.799990807
195	4.793781848
196	4.790971851
197	4.786526039
198	4.783500351
199	4.780851925
200	4.776751692
201	4.773232708
202	4.770372095
203	4.765898213
204	4.762728913
205	4.756358546
206	4.751566999
207	4.749098638
208	4.747462237
209	4.744484473
210	4.739090857
211	4.732369161
212	4.72914623
